,vitaminA,vitaminD,vitaminE,vitaminK,vitaminB1,vitaminB2,vitaminB6,vitaminB12,vitaminC,nicotinic_acid,pantothenic,folic_acid,biotin,calcium,magnesium,iron,copper,selenium,iodine,manganese,molybdenum,chrome,prod_name
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"CosmeHeal HEALTHY WHITE EfferGlow(수출용) (코스메힐 헬씨 화이트, 에퍼글로우﻿)"
1,0.0,0.0,0.0,0.0,1.0,0.0,6.0,12.0,100.0,15.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KA-NE PLUS ZINC (수출용)
2,0.0,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,네이처드림 혈행에 좋은 알티지 오메가3 골드
3,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,뉴트원비타민D유기농1000IU
4,0.0,10.0,11.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,데일리 퍼플 키즈 멀티비타젤리
5,0.0,10.0,11.0,70.0,1.0,2.0,6.0,12.0,100.0,100.0,25.0,0.0,900.0,0.0,0.0,0.0,0.8,55.0,150.0,3.0,25.0,30.0,마이핏V멀티비타이뮨128
6,0.0,0.0,0.0,0.0,1.0,2.0,0.0,12.0,0.0,150.0,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,비타민B 컴플렉스
7,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,칼로지니 애플페논
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(Heun) Love Your Body Weight Management for diet
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(SS)에스에스스킨솔루션
10,0.0,0.0,0.0,0.0,1.0,2.0,6.0,0.0,0.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(SS)에스에스혈행솔루션
11,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,100.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,(SS)에스에스혈행케어
12,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(구) 팻다운 톡
